,,0
no_drug_instances,sp2,0.3956863565078837
sp2,no_drug_instances,0.3956863565078837
DrugCount_max,sp2,0.3955440029163229
sp2,DrugCount_max,0.3955440029163229
ps9,LengthOfStay_std,0.39551528985370293
LengthOfStay_std,ps9,0.39551528985370293
pg2,DrugCount_mean,0.3951581049400525
DrugCount_mean,pg2,0.3951581049400525
DSFS_max,pg3,0.3949126152238958
pg3,DSFS_max,0.3949126152238958
DSFS_range,PayDelay_min,0.3940500472880062
PayDelay_min,DSFS_range,0.3940500472880062
pcg27,ClaimsTruncated,0.39377777483388426
ClaimsTruncated,pcg27,0.39377777483388426
no_lab_instances,CharlsonIndex_mean,0.3937646227805352
CharlsonIndex_mean,no_lab_instances,0.3937646227805352
sp1,ps6,0.3936096230162817
ps6,sp1,0.3936096230162817
no_drug_instances,ps2,0.3932549826402183
ps2,no_drug_instances,0.3932549826402183
LabCount_sum,DrugCount_std,0.3931657085739625
DrugCount_std,LabCount_sum,0.3931657085739625
sp6,pcg3,0.3928609415516814
pcg3,sp6,0.3928609415516814
ps1,LabCount_max,0.39283357466979635
LabCount_max,ps1,0.39283357466979635
PayDelay_min,DSFS_max,0.3928176230565344
DSFS_max,PayDelay_min,0.3928176230565344
pcg23,pg4,0.3924989299895492
pg4,pcg23,0.3924989299895492
no_drug_instances,sp3,0.3924492465870482
sp3,no_drug_instances,0.3924492465870482
no_lab_instances,DrugCount_std,0.39140532685706414
DrugCount_std,no_lab_instances,0.39140532685706414
ps3,no_PlaceSvcs,0.39124475586274543
no_PlaceSvcs,ps3,0.39124475586274543
pcg23,ps2,0.3911731640150895
ps2,pcg23,0.3911731640150895
ps2,no_ProcedureGroups,0.39091995925800227
no_ProcedureGroups,ps2,0.39091995925800227
pcg23,sp3,0.39074099829388004
sp3,pcg23,0.39074099829388004
pg4,no_drug_instances,0.3907400681197407
no_drug_instances,pg4,0.3907400681197407
LabCount_mean,no_Specialties,0.3905855422108723
no_Specialties,LabCount_mean,0.3905855422108723
sp2,CharlsonIndex_mean,0.39032710430458756
CharlsonIndex_mean,sp2,0.39032710430458756
DrugCount_std,no_Specialties,0.39024527395987024
no_Specialties,DrugCount_std,0.39024527395987024
PayDelay_std,no_PlaceSvcs,0.39011813814959023
no_PlaceSvcs,PayDelay_std,0.39011813814959023
pg1,sp1,0.38982362209910915
sp1,pg1,0.38982362209910915
no_PlaceSvcs,pg4,0.3895323525225507
pg4,no_PlaceSvcs,0.3895323525225507
pcg3,no_Vendors,0.38929974103338766
no_Vendors,pcg3,0.38929974103338766
DrugCount_max,DSFS_std,0.3888261557992579
DSFS_std,DrugCount_max,0.3888261557992579
PayDelay_std,DSFS_range,0.38803987308183535
DSFS_range,PayDelay_std,0.38803987308183535
no_ProcedureGroups,sp3,0.3878593849518022
sp3,no_ProcedureGroups,0.3878593849518022
ClaimsTruncated,no_Providers,0.38749269252986707
no_Providers,ClaimsTruncated,0.38749269252986707
DrugCount_std,no_ProcedureGroups,0.387144814959208
no_ProcedureGroups,DrugCount_std,0.387144814959208
DrugCount_max,no_ProcedureGroups,0.38710504202939283
no_ProcedureGroups,DrugCount_max,0.38710504202939283
pg11,sp10,0.38707151705030196
sp10,pg11,0.38707151705030196
DSFS_std,DrugCount_std,0.38662831734514597
DrugCount_std,DSFS_std,0.38662831734514597
pg2,pcg23,0.3862552882483595
pcg23,pg2,0.3862552882483595
PayDelay_std,DSFS_max,0.38544725281470277
DSFS_max,PayDelay_std,0.38544725281470277
PayDelay_sum,DrugCount_mean,0.3848073059534252
DrugCount_mean,PayDelay_sum,0.3848073059534252
DrugCount_max,no_Specialties,0.38476879268031605
no_Specialties,DrugCount_max,0.38476879268031605
DrugCount_std,sp2,0.38472705973263954
sp2,DrugCount_std,0.38472705973263954
pg7,no_PrimaryConditionGroups,0.38357848183884113
no_PrimaryConditionGroups,pg7,0.38357848183884113
pg4,DSFS_std,0.3827652511754504
DSFS_std,pg4,0.3827652511754504
DSFS_std,LabCount_std,0.38196605747239504
LabCount_std,DSFS_std,0.38196605747239504
no_Vendors,CharlsonIndex_max,0.3818149161561608
CharlsonIndex_max,no_Vendors,0.3818149161561608
no_PrimaryConditionGroups,PayDelay_min,0.38133277603378524
PayDelay_min,no_PrimaryConditionGroups,0.38133277603378524
no_Providers,ps3,0.38122815443992847
ps3,no_Providers,0.38122815443992847
pg3,sp1,0.380725187014108
sp1,pg3,0.380725187014108
CharlsonIndex_range,PayDelay_sum,0.3803061425234933
PayDelay_sum,CharlsonIndex_range,0.3803061425234933
pg4,CharlsonIndex_max,0.3800589850622399
CharlsonIndex_max,pg4,0.3800589850622399
no_Vendors,PayDelay_min,0.37927031518095944
PayDelay_min,no_Vendors,0.37927031518095944
no_PlaceSvcs,sp1,0.3789013222857891
sp1,no_PlaceSvcs,0.3789013222857891
DSFS_range,CharlsonIndex_mean,0.37852371342970503
CharlsonIndex_mean,DSFS_range,0.37852371342970503
PayDelay_max,sp2,0.37802055811043184
sp2,PayDelay_max,0.37802055811043184
CharlsonIndex_range,DSFS_sum,0.37801127210764807
DSFS_sum,CharlsonIndex_range,0.37801127210764807
DrugCount_sum,no_Vendors,0.37801048868089354
no_Vendors,DrugCount_sum,0.37801048868089354
CharlsonIndex_mean,DSFS_max,0.37781842537762833
DSFS_max,CharlsonIndex_mean,0.37781842537762833
DrugCount_mean,DSFS_max,0.37687452678800426
DSFS_max,DrugCount_mean,0.37687452678800426
DSFS_range,DrugCount_mean,0.37633551887105043
DrugCount_mean,DSFS_range,0.37633551887105043
sp1,no_PrimaryConditionGroups,0.375614192106078
no_PrimaryConditionGroups,sp1,0.375614192106078
pcg3,PayDelay_sum,0.37557594191366744
PayDelay_sum,pcg3,0.37557594191366744
ps2,CharlsonIndex_max,0.3747765191304568
CharlsonIndex_max,ps2,0.3747765191304568
CharlsonIndex_max,sp3,0.3742436519995769
sp3,CharlsonIndex_max,0.3742436519995769
LabCount_max,pg2,0.37368454578945776
pg2,LabCount_max,0.37368454578945776
pcg3,sp7,0.373684036261935
sp7,pcg3,0.373684036261935
DrugCount_sum,pcg23,0.37364682647783254
pcg23,DrugCount_sum,0.37364682647783254
DrugCount_sum,pg7,0.37335368929818635
pg7,DrugCount_sum,0.37335368929818635
ClaimsTruncated,pg5,0.3728473996937337
pg5,ClaimsTruncated,0.3728473996937337
DSFS_range,pg5,0.37206662331899176
pg5,DSFS_range,0.37206662331899176
PayDelay_min,no_lab_instances_MISS,0.3719148638171253
no_lab_instances_MISS,PayDelay_min,0.3719148638171253
pcg23,LabCount_std,0.371726888966359
LabCount_std,pcg23,0.371726888966359
pcg23,LabCount_max,0.37133390743479994
LabCount_max,pcg23,0.37133390743479994
pg7,no_lab_instances_MISS,0.37127510055393576
no_lab_instances_MISS,pg7,0.37127510055393576
no_Claims,PayDelay_std,0.37065394858806966
PayDelay_std,no_Claims,0.37065394858806966
DSFS_range,sp6,0.37063174918498
sp6,DSFS_range,0.37063174918498
no_Claims,PayDelay_min,0.37037105736853976
PayDelay_min,no_Claims,0.37037105736853976
DSFS_sum,no_lab_instances_MISS,0.3703358164201106
no_lab_instances_MISS,DSFS_sum,0.3703358164201106
DrugCount_mean,ps1,0.37022311028586496
ps1,DrugCount_mean,0.37022311028586496
DSFS_mean,pg7,0.37011102703148674
pg7,DSFS_mean,0.37011102703148674
PayDelay_min,LOS_TOT_UNKNOWN_count,0.3697085017981749
LOS_TOT_UNKNOWN_count,PayDelay_min,0.3697085017981749
sp6,ClaimsTruncated,0.36934657444024355
ClaimsTruncated,sp6,0.36934657444024355
sp1,pg5,0.3672047458638719
pg5,sp1,0.3672047458638719
no_Providers,CharlsonIndex_mean,0.3670481049379582
CharlsonIndex_mean,no_Providers,0.3670481049379582
PayDelay_sum,no_lab_instances_MISS,0.36698606954828356
no_lab_instances_MISS,PayDelay_sum,0.36698606954828356
sp10,ps1,0.366917515235302
ps1,sp10,0.366917515235302
CharlsonIndex_max,no_ProcedureGroups,0.3667129413992617
no_ProcedureGroups,CharlsonIndex_max,0.3667129413992617
pg10,pcg14,0.366653903332305
pcg14,pg10,0.366653903332305
pg5,DSFS_max,0.36641451221045707
DSFS_max,pg5,0.36641451221045707
sexMISS,sexMALE,0.3660286068413305
sexMALE,sexMISS,0.3660286068413305
no_PrimaryConditionGroups,CharlsonIndex_std,0.3657791096430346
CharlsonIndex_std,no_PrimaryConditionGroups,0.3657791096430346
DSFS_mean,no_lab_instances_MISS,0.36567837201080283
no_lab_instances_MISS,DSFS_mean,0.36567837201080283
pg7,no_drug_instances,0.3651852250314494
no_drug_instances,pg7,0.3651852250314494
no_lab_instances_MISS,DSFS_std,0.365053814528107
DSFS_std,no_lab_instances_MISS,0.365053814528107
PayDelay_std,LOS_TOT_UNKNOWN_count,0.36498679944240375
LOS_TOT_UNKNOWN_count,PayDelay_std,0.36498679944240375
ps9,pcg36,0.3649500833543309
pcg36,ps9,0.3649500833543309
DSFS_max,sp6,0.36457749603510936
sp6,DSFS_max,0.36457749603510936
pg4,DrugCount_max,0.363785387765746
DrugCount_max,pg4,0.363785387765746
LabCount_max,DSFS_mean,0.3629626228857248
DSFS_mean,LabCount_max,0.3629626228857248
sp6,PayDelay_max,0.36272659633340737
PayDelay_max,sp6,0.36272659633340737
DrugCount_sum,no_ProcedureGroups,0.3625960905547018
no_ProcedureGroups,DrugCount_sum,0.3625960905547018
PayDelay_max,pg5,0.3625500482149963
pg5,PayDelay_max,0.3625500482149963
PayDelay_min,DSFS_std,0.3624780656299383
DSFS_std,PayDelay_min,0.3624780656299383
DSFS_std,ps2,0.3623345698332665
ps2,DSFS_std,0.3623345698332665
ps2,DrugCount_max,0.3622677564148379
DrugCount_max,ps2,0.3622677564148379
DrugCount_max,sp3,0.36179864686235425
sp3,DrugCount_max,0.36179864686235425
PayDelay_min,no_Providers,0.3617980415220254
no_Providers,PayDelay_min,0.3617980415220254
pg2,CharlsonIndex_range,0.3616553122518465
CharlsonIndex_range,pg2,0.3616553122518465
CharlsonIndex_max,pg7,0.36159199879040393
pg7,CharlsonIndex_max,0.36159199879040393
no_Specialties,CharlsonIndex_max,0.3614717649152547
CharlsonIndex_max,no_Specialties,0.3614717649152547
DSFS_std,sp3,0.3611872593496581
sp3,DSFS_std,0.3611872593496581
ps2,no_Specialties,0.3607427531449177
no_Specialties,ps2,0.3607427531449177
pcg3,pg13,0.3606703168759342
pg13,pcg3,0.3606703168759342
pcg23,sp2,0.360221453747775
sp2,pcg23,0.360221453747775
sp2,ps4,0.3599521407325692
ps4,sp2,0.3599521407325692
no_Specialties,DrugCount_sum,0.3593421113235966
DrugCount_sum,no_Specialties,0.3593421113235966
CharlsonIndex_min,pcg23,0.3589477002704816
pcg23,CharlsonIndex_min,0.3589477002704816
DSFS_mean,CharlsonIndex_max,0.3584557253032042
CharlsonIndex_max,DSFS_mean,0.3584557253032042
DSFS_std,sp2,0.35833578694814644
sp2,DSFS_std,0.35833578694814644
pg5,ps4,0.3583018075379241
ps4,pg5,0.3583018075379241
PayDelay_min,no_PlaceSvcs,0.3582895444530272
no_PlaceSvcs,PayDelay_min,0.3582895444530272
sp2,pg4,0.3575743023591184
pg4,sp2,0.3575743023591184
LabCount_sum,DrugCount_mean,0.35748071959845873
DrugCount_mean,LabCount_sum,0.35748071959845873
PayDelay_std,DSFS_std,0.3574741849009918
DSFS_std,PayDelay_std,0.3574741849009918
ps4,PayDelay_sum,0.35645401609741967
PayDelay_sum,ps4,0.35645401609741967
sp3,no_Specialties,0.3562704510398756
no_Specialties,sp3,0.3562704510398756
no_PrimaryConditionGroups,ClaimsTruncated,0.3554061518619471
ClaimsTruncated,no_PrimaryConditionGroups,0.3554061518619471
no_PlaceSvcs,ps6,0.3553763563998775
ps6,no_PlaceSvcs,0.3553763563998775
ps1,ps2,0.35524534522194706
ps2,ps1,0.35524534522194706
no_PlaceSvcs,no_drug_instances,0.35512669649798756
no_drug_instances,no_PlaceSvcs,0.35512669649798756
pg2,ps2,0.3548821987611088
ps2,pg2,0.3548821987611088
PayDelay_std,pg2,0.3544534037880953
pg2,PayDelay_std,0.3544534037880953
pcg27,PayDelay_sum,0.3540340669490653
PayDelay_sum,pcg27,0.3540340669490653
pg8,pcg12,0.35400334730149435
pcg12,pg8,0.35400334730149435
pg4,DrugCount_std,0.35384692704038895
DrugCount_std,pg4,0.35384692704038895
pcg23,DSFS_max,0.3537531162068684
DSFS_max,pcg23,0.3537531162068684
pg2,sp3,0.35363405585847835
sp3,pg2,0.35363405585847835
ps2,no_Providers,0.353581604750286
no_Providers,ps2,0.353581604750286
no_lab_instances,DrugCount_mean,0.3534632008965317
DrugCount_mean,no_lab_instances,0.3534632008965317
sp3,ps1,0.35300792336565534
ps1,sp3,0.35300792336565534
pg4,CharlsonIndex_mean,0.3526753115481827
CharlsonIndex_mean,pg4,0.3526753115481827
DSFS_mean,PayDelay_min,0.35242770593250317
PayDelay_min,DSFS_mean,0.35242770593250317
LOS_TOT_KNOWN_count,no_Claims,0.3523148270916295
no_Claims,LOS_TOT_KNOWN_count,0.3523148270916295
pcg23,DSFS_range,0.352276392209281
DSFS_range,pcg23,0.352276392209281
ps2,CharlsonIndex_mean,0.35192423180536947
CharlsonIndex_mean,ps2,0.35192423180536947
ps1,CharlsonIndex_range,0.3517217484014079
CharlsonIndex_range,ps1,0.3517217484014079
sp3,CharlsonIndex_mean,0.35157324451411354
CharlsonIndex_mean,sp3,0.35157324451411354
sp12,pg1,0.3511772347440207
pg1,sp12,0.3511772347440207
DrugCount_max,no_PlaceSvcs,0.351168387620154
no_PlaceSvcs,DrugCount_max,0.351168387620154
pg11,pcg42,0.3510669837152176
pcg42,pg11,0.3510669837152176
DSFS_range,sp9,0.3510393921011454
sp9,DSFS_range,0.3510393921011454
sp8,no_Vendors,0.35095874854012865
no_Vendors,sp8,0.35095874854012865
ps1,sp5,0.35090666183056946
sp5,ps1,0.35090666183056946
no_Claims,ps4,0.35066479512995047
ps4,no_Claims,0.35066479512995047
sp3,no_Providers,0.35047376283168125
no_Providers,sp3,0.35047376283168125
PayDelay_max,DSFS_std,0.35042676560208214
DSFS_std,PayDelay_max,0.35042676560208214
PayDelay_sum,LOS_TOT_KNOWN_count,0.35014636773477226
LOS_TOT_KNOWN_count,PayDelay_sum,0.35014636773477226
CharlsonIndex_range,no_Providers,0.3497354177292967
no_Providers,CharlsonIndex_range,0.3497354177292967
ps1,pcg28,0.34966366902006313
pcg28,ps1,0.34966366902006313
sp9,DSFS_max,0.34962802285335276
DSFS_max,sp9,0.34962802285335276
ps3,sp1,0.3496056669850338
sp1,ps3,0.3496056669850338
DrugCount_std,no_PlaceSvcs,0.34951848065035024
no_PlaceSvcs,DrugCount_std,0.34951848065035024
pg16,LOS_TOT_KNOWN_count,0.34941943935443076
LOS_TOT_KNOWN_count,pg16,0.34941943935443076
sp9,no_Specialties,0.34917934600341055
no_Specialties,sp9,0.34917934600341055
sp8,no_PlaceSvcs,0.3491635547681511
no_PlaceSvcs,sp8,0.3491635547681511
DSFS_mean,pg3,0.3478862131001315
pg3,DSFS_mean,0.3478862131001315
DrugCount_std,ps2,0.34775917218243657
ps2,DrugCount_std,0.34775917218243657
ps2,no_Vendors,0.34766397616932265
no_Vendors,ps2,0.34766397616932265
ClaimsTruncated,pg3,0.3476439749642811
pg3,ClaimsTruncated,0.3476439749642811
no_Vendors,CharlsonIndex_mean,0.34753946670056457
CharlsonIndex_mean,no_Vendors,0.34753946670056457
sp3,DrugCount_std,0.34737666269153916
DrugCount_std,sp3,0.34737666269153916
sp12,no_Vendors,0.34666349295999555
no_Vendors,sp12,0.34666349295999555
PayDelay_max,DSFS_mean,0.34626123177053053
DSFS_mean,PayDelay_max,0.34626123177053053
PayDelay_min,LabCount_max,0.34609660787642665
LabCount_max,PayDelay_min,0.34609660787642665
no_PrimaryConditionGroups,LabCount_mean,0.34579980982683955
LabCount_mean,no_PrimaryConditionGroups,0.34579980982683955
PayDelay_std,ps1,0.3457179488043387
ps1,PayDelay_std,0.3457179488043387
sp2,DrugCount_mean,0.34559534851246687
DrugCount_mean,sp2,0.34559534851246687
pg7,CharlsonIndex_mean,0.3454905299578619
CharlsonIndex_mean,pg7,0.3454905299578619
CharlsonIndex_std,no_Claims,0.3454365056757308
no_Claims,CharlsonIndex_std,0.3454365056757308
CharlsonIndex_std,LOS_TOT_UNKNOWN_count,0.34541420043489995
LOS_TOT_UNKNOWN_count,CharlsonIndex_std,0.34541420043489995
LengthOfStay_std,pcg36,0.3450900200867731
pcg36,LengthOfStay_std,0.3450900200867731
no_Providers,sp9,0.34503936138256325
sp9,no_Providers,0.34503936138256325
LabCount_max,DSFS_std,0.34496417727639755
DSFS_std,LabCount_max,0.34496417727639755
LengthOfStay_mean,ps9,0.344448173808122
ps9,LengthOfStay_mean,0.344448173808122
pg3,no_PlaceSvcs,0.3444081361389683
no_PlaceSvcs,pg3,0.3444081361389683
sp3,pcg16,0.34420657746166156
pcg16,sp3,0.34420657746166156
pcg23,no_drug_instances,0.34408500208592907
no_drug_instances,pcg23,0.34408500208592907
no_Vendors,sp3,0.34374360531645665
sp3,no_Vendors,0.34374360531645665
pg3,pcg28,0.3435856380647586
pcg28,pg3,0.3435856380647586
no_Providers,DrugCount_mean,0.3434112256110429
DrugCount_mean,no_Providers,0.3434112256110429
pcg16,ps2,0.34310679991049337
ps2,pcg16,0.34310679991049337
DrugCount_mean,DSFS_mean,0.34260366932739716
DSFS_mean,DrugCount_mean,0.34260366932739716
no_Claims,ps3,0.3416173916208024
ps3,no_Claims,0.3416173916208024
no_Specialties,ps5,0.3397355959376317
ps5,no_Specialties,0.3397355959376317
pg2,ps4,0.3396190640747877
ps4,pg2,0.3396190640747877
LabCount_max,no_drug_instances,0.3394873050433219
no_drug_instances,LabCount_max,0.3394873050433219
CharlsonIndex_max,DSFS_std,0.33938561881247814
DSFS_std,CharlsonIndex_max,0.33938561881247814
DrugCount_max,pg7,0.3392811296938705
pg7,DrugCount_max,0.3392811296938705
PayDelay_min,ps1,0.33905187745852194
ps1,PayDelay_min,0.33905187745852194
LabCount_mean,no_Vendors,0.33835822567012697
no_Vendors,LabCount_mean,0.33835822567012697
no_Specialties,ps3,0.3382222237161422
ps3,no_Specialties,0.3382222237161422
ps3,no_ProcedureGroups,0.3380462324278367
no_ProcedureGroups,ps3,0.3380462324278367
no_PrimaryConditionGroups,ps5,0.33791318775700213
ps5,no_PrimaryConditionGroups,0.33791318775700213
LabCount_max,CharlsonIndex_max,0.33787573533576415
CharlsonIndex_max,LabCount_max,0.33787573533576415
no_ProcedureGroups,ps6,0.33786951186759595
ps6,no_ProcedureGroups,0.33786951186759595
CharlsonIndex_mean,DSFS_mean,0.33779772198501046
DSFS_mean,CharlsonIndex_mean,0.33779772198501046
pg2,ps5,0.33775836482217536
ps5,pg2,0.33775836482217536
no_ProcedureGroups,CharlsonIndex_mean,0.33771343825751743
CharlsonIndex_mean,no_ProcedureGroups,0.33771343825751743
LabCount_mean,LabCount_std,0.3374679875143836
LabCount_std,LabCount_mean,0.3374679875143836
no_Vendors,ps5,0.3368230676967762
ps5,no_Vendors,0.3368230676967762
no_drug_instances,LabCount_std,0.33681677232500545
LabCount_std,no_drug_instances,0.33681677232500545
ClaimsTruncated,no_Vendors,0.3367557271104107
no_Vendors,ClaimsTruncated,0.3367557271104107
ps1,no_lab_instances_MISS,0.33620040370209875
no_lab_instances_MISS,ps1,0.33620040370209875
DrugCount_max,pcg23,0.3361559190627341
pcg23,DrugCount_max,0.3361559190627341
LabCount_sum,sp6,0.33488477012598145
sp6,LabCount_sum,0.33488477012598145
no_ProcedureGroups,pcg3,0.3347279246114183
pcg3,no_ProcedureGroups,0.3347279246114183
sp1,pg13,0.33406947247904467
pg13,sp1,0.33406947247904467
LabCount_std,sp2,0.3340205536754325
sp2,LabCount_std,0.3340205536754325
pg14,pcg3,0.33332972551028534
pcg3,pg14,0.33332972551028534
LabCount_max,pcg27,0.33313955784122945
pcg27,LabCount_max,0.33313955784122945
no_PrimaryConditionGroups,pg8,0.3329602360373099
pg8,no_PrimaryConditionGroups,0.3329602360373099
pcg12,no_Providers,0.3326428488654883
no_Providers,pcg12,0.3326428488654883
pg7,DSFS_std,0.3325830185821712
DSFS_std,pg7,0.3325830185821712
ps2,no_PlaceSvcs,0.3324698897218048
no_PlaceSvcs,ps2,0.3324698897218048
pg1,ps4,0.3316509262491888
ps4,pg1,0.3316509262491888
pg7,no_Specialties,0.33151640416817973
no_Specialties,pg7,0.33151640416817973
DrugCount_mean,no_Vendors,0.33131103835831166
no_Vendors,DrugCount_mean,0.33131103835831166
pg11,no_ProcedureGroups,0.3311946272088547
no_ProcedureGroups,pg11,0.3311946272088547
CharlsonIndex_range,no_Vendors,0.3311386164310182
no_Vendors,CharlsonIndex_range,0.3311386164310182
ps3,pg1,0.3308131813342169
pg1,ps3,0.3308131813342169
LengthOfStay_mean,pcg36,0.33065593565951223
pcg36,LengthOfStay_mean,0.33065593565951223
sp3,no_PlaceSvcs,0.3294507077445152
no_PlaceSvcs,sp3,0.3294507077445152
sp6,pg3,0.32941244624109545
pg3,sp6,0.32941244624109545
ps4,pcg39,0.32926001481601486
pcg39,ps4,0.32926001481601486
pg11,PayDelay_sum,0.3291813312473301
PayDelay_sum,pg11,0.3291813312473301
pg7,ps1,0.3290945440834886
ps1,pg7,0.3290945440834886
pcg27,LabCount_std,0.32893321936823
LabCount_std,pcg27,0.32893321936823
pg7,pcg16,0.32867557762454314
pcg16,pg7,0.32867557762454314
pcg23,no_PrimaryConditionGroups,0.3283692120344378
no_PrimaryConditionGroups,pcg23,0.3283692120344378
DSFS_mean,PayDelay_std,0.3279025925263219
PayDelay_std,DSFS_mean,0.3279025925263219
CharlsonIndex_mean,no_Specialties,0.3275780014633332
no_Specialties,CharlsonIndex_mean,0.3275780014633332
no_Providers,LabCount_mean,0.3267885640169453
LabCount_mean,no_Providers,0.3267885640169453
LabCount_sum,CharlsonIndex_range,0.32657054080189973
CharlsonIndex_range,LabCount_sum,0.32657054080189973
LOS_TOT_KNOWN_count,ps6,0.3261546382509274
ps6,LOS_TOT_KNOWN_count,0.3261546382509274
no_drug_instances_MISS,DSFS_max,0.32599749184571647
DSFS_max,no_drug_instances_MISS,0.32599749184571647
ps4,no_Specialties,0.3259073200593867
no_Specialties,ps4,0.3259073200593867
ps5,no_Claims,0.3258910934299837
no_Claims,ps5,0.3258910934299837
pg8,no_Claims,0.3258121611145345
no_Claims,pg8,0.3258121611145345
sp11,pg10,0.32579764908192693
pg10,sp11,0.32579764908192693
pg7,no_Providers,0.3256146247231212
no_Providers,pg7,0.3256146247231212
no_drug_instances_MISS,DSFS_range,0.32561381376912973
DSFS_range,no_drug_instances_MISS,0.32561381376912973
pg3,pg5,0.3255981240739542
pg5,pg3,0.3255981240739542
ps4,LOS_TOT_UNKNOWN_count,0.32558708973923556
LOS_TOT_UNKNOWN_count,ps4,0.32558708973923556
ClaimsTruncated,DrugCount_sum,0.32525261346588064
DrugCount_sum,ClaimsTruncated,0.32525261346588064
no_ProcedureGroups,DrugCount_mean,0.3249681076513058
DrugCount_mean,no_ProcedureGroups,0.3249681076513058
ps4,no_ProcedureGroups,0.32485473539010856
no_ProcedureGroups,ps4,0.32485473539010856
sp11,pg12,0.3247670849889475
pg12,sp11,0.3247670849889475
DSFS_max,pcg27,0.32473079217331896
pcg27,DSFS_max,0.32473079217331896
CharlsonIndex_min,DrugCount_sum,0.3244471208040909
DrugCount_sum,CharlsonIndex_min,0.3244471208040909
sp12,no_Specialties,0.3243563715255093
no_Specialties,sp12,0.3243563715255093
DSFS_sum,CharlsonIndex_std,0.3242450446091794
CharlsonIndex_std,DSFS_sum,0.3242450446091794
CharlsonIndex_std,PayDelay_sum,0.3241585616258792
PayDelay_sum,CharlsonIndex_std,0.3241585616258792
PayDelay_min,DSFS_sum,0.3237127284320597
DSFS_sum,PayDelay_min,0.3237127284320597
PayDelay_min,pg2,0.3236993246464345
pg2,PayDelay_min,0.3236993246464345
no_PlaceSvcs,DrugCount_sum,0.323562463019831
DrugCount_sum,no_PlaceSvcs,0.323562463019831
pg8,LengthOfStay_max,0.32354450358945996
LengthOfStay_max,pg8,0.32354450358945996
DrugCount_mean,DSFS_std,0.3234506644851887
DSFS_std,DrugCount_mean,0.3234506644851887
no_ProcedureGroups,ps5,0.32337665719136616
ps5,no_ProcedureGroups,0.32337665719136616
LabCount_max,DrugCount_max,0.32328810843245254
DrugCount_max,LabCount_max,0.32328810843245254
no_Specialties,sp8,0.3231258018595942
sp8,no_Specialties,0.3231258018595942
LOS_TOT_UNKNOWN_count,ps3,0.323099071148702
ps3,LOS_TOT_UNKNOWN_count,0.323099071148702
DSFS_range,pcg27,0.32289972958154484
pcg27,DSFS_range,0.32289972958154484
LOS_TOT_SUPRESSED_count,ps4,0.32285603142528785
ps4,LOS_TOT_SUPRESSED_count,0.32285603142528785
DrugCount_std,pg7,0.3227956080444563
pg7,DrugCount_std,0.3227956080444563
no_Claims,pcg28,0.3226322027531495
pcg28,no_Claims,0.3226322027531495
pg11,ps1,0.3217312359063086
ps1,pg11,0.3217312359063086
pcg23,DSFS_mean,0.3217205210680214
DSFS_mean,pcg23,0.3217205210680214
ps2,DrugCount_mean,0.3216595312100868
DrugCount_mean,ps2,0.3216595312100868
pg2,pg7,0.3215833193046275
pg7,pg2,0.3215833193046275
pcg42,pg2,0.32143496641038666
pg2,pcg42,0.32143496641038666
DrugCount_mean,sp3,0.3211933489061298
sp3,DrugCount_mean,0.3211933489061298
pcg12,no_Vendors,0.3209360994356423
no_Vendors,pcg12,0.3209360994356423
sp9,no_ProcedureGroups,0.3207322430688447
no_ProcedureGroups,sp9,0.3207322430688447
pg7,no_Vendors,0.32059998032983367
no_Vendors,pg7,0.32059998032983367
CharlsonIndex_mean,DSFS_std,0.3205810401956607
DSFS_std,CharlsonIndex_mean,0.3205810401956607
LabCount_std,CharlsonIndex_max,0.3202606780171321
CharlsonIndex_max,LabCount_std,0.3202606780171321
LabCount_max,CharlsonIndex_mean,0.3195364470440068
CharlsonIndex_mean,LabCount_max,0.3195364470440068
pcg36,LengthOfStay_max,0.3193862106059735
LengthOfStay_max,pcg36,0.3193862106059735
sp12,no_Providers,0.31936198355220063
no_Providers,sp12,0.31936198355220063
ps10,sp14,0.31916025162493267
sp14,ps10,0.31916025162493267
no_Claims,pg11,0.3190131378986179
pg11,no_Claims,0.3190131378986179
LabCount_max,sp2,0.3188305761621426
sp2,LabCount_max,0.3188305761621426
LOS_TOT_UNKNOWN_count,pcg28,0.3187991563685064
pcg28,LOS_TOT_UNKNOWN_count,0.3187991563685064
DSFS_mean,pg5,0.3186356561065224
pg5,DSFS_mean,0.3186356561065224
pg4,DrugCount_mean,0.3183844441264017
DrugCount_mean,pg4,0.3183844441264017
DSFS_mean,sp6,0.31837579445579584
sp6,DSFS_mean,0.31837579445579584
pcg28,DSFS_sum,0.3182120789911276
DSFS_sum,pcg28,0.3182120789911276
no_PlaceSvcs,LengthOfStay_max,0.3180233529003995
LengthOfStay_max,no_PlaceSvcs,0.3180233529003995
DrugCount_mean,no_Specialties,0.3178445373171427
no_Specialties,DrugCount_mean,0.3178445373171427
LOS_TOT_UNKNOWN_count,LabCount_mean,0.3177798042262069
LabCount_mean,LOS_TOT_UNKNOWN_count,0.3177798042262069
pcg39,no_Providers,0.31763543106278597
no_Providers,pcg39,0.31763543106278597
no_ProcedureGroups,pcg27,0.31757737725665613
pcg27,no_ProcedureGroups,0.31757737725665613
sp6,ps5,0.3174856061779106
ps5,sp6,0.3174856061779106
sp1,DSFS_range,0.31748468726663176
DSFS_range,sp1,0.31748468726663176
LOS_TOT_SUPRESSED_count,ps9,0.31741410385829844
